场景,产品,赢得任务数,总任务数,胜率,第一名
logo设计,Lovart,12,17,70.6%,是
logo设计,即梦,3,17,17.6%,
logo设计,Roboneo,3,17,17.6%,
IP形象设计,Lovart,7,16,43.8%,是
IP形象设计,即梦,3,16,18.8%,
IP形象设计,Roboneo,6,16,37.5%,
徽章奖杯设计,Lovart,12,19,63.2%,是
徽章奖杯设计,即梦,6,19,31.6%,
徽章奖杯设计,Roboneo,1,19,5.3%,
商品海报设计,Lovart,5,16,31.2%,
商品海报设计,即梦,8,16,50.0%,是
商品海报设计,Roboneo,3,16,18.8%,
商品图片美化,Lovart,6,13,46.2%,是
商品图片美化,即梦,5,13,38.5%,
商品图片美化,Roboneo,2,13,15.4%,
线上营销活动,Lovart,12,18,66.7%,是
线上营销活动,即梦,3,18,16.7%,
线上营销活动,Roboneo,4,18,22.2%,
线下推广物料,Lovart,10,16,62.5%,是
线下推广物料,即梦,3,16,18.8%,
线下推广物料,Roboneo,3,16,18.8%,
